,商品名称,数量
1470,『爱意绵绵』9枝混搭韩式玫瑰花束送女友送老婆鲜花	,214
48,『福禄鸳鸯』11枝蓝色妖姬搭配满天星花束七夕情人节礼物鲜花	,191
49,『瑰丽娇嫩』33枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店	,187
50,『纤尘不染』52粉玫瑰搭配满天星韩式花束七夕情人节礼物鲜花店	,183
54,『闭月羞花』21枝红玫瑰花圣诞礼盒搭配满天星生日礼物鲜花店	,181
51,『百年偕老』19枝红玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店	,178
65,『天真无邪』粉色满天星小花束毕业季送老师送师生鲜花	,174
68,『美丽动人』9枝红玫瑰搭配尤加利韩式花束送女友送老婆鲜花	,174
52,『天荒地老』19枝粉玫瑰搭配满天星礼盒七夕情人节礼物鲜花店	,172
53,『师爱无边』21枝粉玫瑰+3枝向日葵花束 教师节礼物 送老师	,169
60,『豆蔻年华』11枝粉玫瑰搭配满天星花束520送女友情人节鲜花	,166
55,『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒520送女友情人节鲜花	,164
56,『花信年华』11枝香槟玫瑰搭配苹果也礼盒七夕情人节礼物鲜花店	,163
252,『店铺推荐』单枝红玫瑰自取款花束（自取款，单拍不送）	,162
59,『特价优惠』一枝向日葵搭配雏菊韩式花束特价款	,158
57,『清新高雅』19枝香槟玫瑰搭配情人草礼盒七夕情人节礼物鲜花店	,157
69,『爱丽舍』高端蓝色满天星搭配9枝白玫瑰大花束 送女友生日礼物	,154
58,『心心相印』11枝香槟玫瑰搭配桔梗韩式花束七夕情人节礼物鲜花	,154
77,『爱情永固』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花	,149
61,『青梅竹马』11枝红玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店	,149
64,『莺莺燕燕』33枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店	,146
62,『辛勤园丁』11枝粉玫瑰搭配尤加利花束教师节礼物鲜花	,145
63,『嫁给我把』11枝红玫瑰花束情人节送女友送闺蜜鲜花店	,143
72,『情投意合』33枝粉玫瑰搭配满天星花束520送女友情人节鲜花	,141
66,『桃李满天下』11支红康乃馨搭配尤加利花束送老师礼物鲜花	,139
67,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店	,138
71,『平易近人』3朵向日葵搭配尤加利花束送长辈送父亲鲜花	,135
70,『伯劳飞燕』19枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花	,133
91,天天想念 粉色满天星简单小花束	,132
74,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店	,131
76,『郎才女貌』33枝红玫瑰搭配黄英礼盒七夕情人节礼物鲜花店	,130
73,『天作之合』11枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店	,128
93,『店铺推荐』单枝粉玫瑰自取款花束（自取款，单拍不送）	,127
75,『海枯石烂』19枝红玫瑰搭配满天星礼盒520送女友情人节鲜花	,126
85,『枫叶流丹』11枝红玫瑰搭配白桔梗礼盒情人节送女友鲜花店	,119
83,『如花似玉』6枝粉玫瑰+3枝白玫瑰花束520送女友情人节鲜花	,119
86,『Recommend S3款』8枝白色玫瑰3枝粉色玫瑰鲜花店	,118
78,『热烈』3朵向日葵搭配洋桔梗花束毕业季送老师送同学	,113
79,『沉鱼落雁』11枝红玫瑰搭配尤加利礼盒520送女友情人节鲜花	,112
80,『老师如海』4朵向日葵搭配3枝香槟玫瑰韩式花束教师节礼物鲜花	,111
82,『芬芳馥郁』11枝红玫瑰搭配满天星花束520送女友情人节鲜花	,110
81,『一见钟情』33枝香槟玫瑰搭配桔梗花束七夕情人节礼物鲜花	,109
87,『锲而不舍』19枝粉玫瑰搭配尤加利花束520情人节礼物鲜花	,108
84,满天星『以爱为名』	,108
88,『爱情爱情』19枝红玫瑰搭配两朵百合鲜花礼盒 生日礼物爱人	,106
89,『诗和远方』11枝粉玫瑰搭配相思梅花束送闺蜜送女友鲜花店生日	,105
90,『Blue A1款』11枝蓝色玫瑰鲜花儿+配草 礼盒	,103
96,『来自星星的你』蓝色满天星礼盒520情人节礼物送女友推荐鲜花	,102
92,『店铺推荐』单枝粉玫瑰特价韩式花束自取款	,101
97,『Goddess C5款』19枝香槟玫瑰+配草+2只小熊礼盒	,101
98,『繁花满园』52枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,100
94,『桃花流水』19枝红玫瑰搭配满天星礼盒情人节送女友鲜花店	,99
95,『一吻便救一个人』11枝红玫瑰尤加利花束520情人节礼物鲜花	,99
99,『幽香醉人』19枝蓝色妖姬 韩式花束 七夕情人节礼物鲜花店	,95
102,『美冠群芳』香槟玫瑰搭配粉玫瑰混搭抱抱通七夕情人节礼物鲜花店	,95
101,『盛夏光年』33枝红玫瑰黑纱花束情人节送女友鲜花店	,94
100,『这一生』11枝粉玫瑰花束情人节送女友送闺蜜鲜花店	,93
103,『店铺推荐』单枝满天星特价花束自取款	,91
106,『灿若云霞』99枝红玫瑰搭配尤加利韩式花束七夕情人节礼物	,89
104,『无私的奉献』11支粉康乃馨搭配满天星礼盒送老师礼物鲜花	,89
105,『初恋的味道』9枝粉玫瑰花搭配满天星花束送闺蜜生日花鲜花店	,86
107,『咽苦吐甘』  19枝康乃馨8朵玫瑰 母亲节送妈妈送亲人	,86
108,『织女』11枝香槟玫瑰搭配苹果叶花束七夕情人节礼物鲜花	,85
111,『惊鸿一瞥』9枝粉玫瑰搭配尤加利鲜花束送女友闺生日礼物鲜花店	,85
109,『恩重如山』5枝向日葵花束 教师节礼物 送老师	,84
110,『伯劳飞燕』11枝香槟玫瑰搭配向日葵混搭花束送父亲鲜花	,84
114,『比翼双飞』33枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花	,83
112,『国色天香』19枝红玫瑰配尤加利桔梗花束520情人节礼物鲜花	,81
117,『不相离』19朵香槟玫瑰礼盒 送女朋友送情人送媳妇 生日礼品	,79
113,花店推荐鲜花 19枝白玫瑰+2只小熊礼盒 送女友情人生日礼物	,77
115,『郎情妾意』33枝粉玫瑰搭配银叶菊礼盒七夕情人节礼物鲜花店	,77
116,『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店	,77
119,『群芳争艳』LOVE红玫瑰精致礼盒七夕情人节礼物鲜花店	,76
121,『一生一世』520摆式红玫瑰搭配相思梅礼盒七夕情人节礼物鲜花	,75
125,『天天年年』9枝红玫瑰花鲜花束送闺蜜送女友生日礼物鲜花店	,74
152,『日常家居鲜花』3枝粉色洋桔梗（一公里内配送，不带瓶装。）	,74
118,『眉目如画』33枝红玫瑰黑纱爆款花束 送女神送女友	,74
120,『高雅素洁』19枝蓝色妖姬搭配情人草礼盒七夕情人节礼物鲜花店	,74
131,『日常家居鲜花』3枝粉玫瑰（一公里内配送，不带瓶装。）	,73
130,『粉色初恋』9枝粉玫瑰搭配满天星花束情人节爆款送女友鲜花店	,72
122,『花晨月夕』11枝红玫瑰情人节送女友送闺蜜鲜花花束	,71
123,『目成心许』11枝粉玫瑰情人节送女友送闺蜜鲜花花束	,71
126,『领路明灯』6枝康乃馨+5枝红玫瑰礼盒教师节鲜花	,71
127,『秀外慧中』11枝粉玫瑰搭配尤加利礼盒520送女友情人节鲜花	,70
124,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜	,70
129,『店长推荐』精致花束红色粉色满天星	,69
128,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店	,69
133,『Goddess C2款』19枝戴安娜鲜花儿+配草 礼盒	,67
134,『心旷神怡』19枝红玫瑰搭配满天星礼盒520情人节礼物鲜花	,66
132,『始终如一』19枝粉玫瑰搭配相思梅礼盒520情人节礼物鲜花	,65
135,『连枝比翼』11枝香槟玫瑰搭配尤加利礼盒520情人节礼物鲜花	,65
136,『沐浴阳光』19枝粉康乃馨精致花束教师节送老师送长辈鲜花	,63
137,『春暖花开』11枝香槟玫瑰+3朵向日葵+配草花束 女神节礼物	,62
139,『清芬沁人』52枝粉玫瑰搭配红豆韩式花束七夕情人节礼物鲜花店	,62
494,『限量自取款』单枝红玫瑰简约鲜花送女友送老婆鲜花	,61
138,『恩师之情』6枝向日葵搭配龙加利花束教师节礼物鲜花	,61
151,『Niu郎款』11枝红玫瑰鲜花花束送女友闺蜜圣诞爆款鲜花店	,60
203,『日常家居鲜花』小束洋桔梗（一公里内配送）	,60
140,『Classic C5款』19枝红玫瑰鲜花+配草花束 鲜花店	,60
141,『鸳俦凤侣』19枝蓝色妖姬搭配栀子叶花束520情人节鲜花	,59
144,『日常家居鲜花』3枝红玫瑰（一公里内配送，不带瓶装。）	,58
147,『相见恨晚』11枝香槟玫瑰搭配满天星栀子叶礼盒情人节送女友	,57
145,『给你的爱』52朵红玫瑰花束 送女友送闺蜜送情人推荐	,57
1486,『超值自取款』单只康乃馨	,57
143,向日葵精美花束(限量抢购，店里自取)	,57
142,『男欢女爱』19枝粉玫瑰配黄英相思梅礼盒520情人节礼物鲜花	,57
149,『郎情妾意』11枝红玫瑰搭配相思梅礼盒情人节送女友鲜花店	,56
148,『心血滋润』11枝粉玫瑰搭配尤加利礼盒教师节送老师礼物鲜花	,56
146,『伉俪情深』19枝蓝色妖姬搭配尤加利礼盒520情人节礼物鲜花	,56
150,『父母恩勤』4朵向日葵搭配洋桔梗花束毕业季送老师送同学	,56
153,『柔情密意』11枝粉玫瑰搭配苹果叶礼盒七夕情人节礼物鲜花	,55
159,『情深似海』混搭满天星鲜花花束 送女友送闺蜜推荐鲜花	,55
156,『BlackyarnE2款』99枝红玫瑰花520送女友鲜花	,54
154,『如花释放』3枝向日葵搭配3枝香槟玫瑰鲜花	,53
1574,『粉色初恋』11枝粉玫瑰搭配粉色满天星韩式花束	,53
198,『店长力荐』11枝红玫瑰鲜花花束送女友送爱人生日礼物	,53
155,『一举夺魁』6朵玫瑰混搭小花束	,52
158,『雅致婉约』19枝香槟玫瑰搭配情人草礼盒520情人节礼物鲜花	,52
157,『莫半花语』33枝蓝色妖姬搭配满天星花束情人节送女友鲜花店	,52
161,『魔鬼中的天使』20朵白玫瑰花红玫瑰花混搭礼盒鲜花店爱人推荐	,52
160,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店	,51
163,『觅爱追欢』19枝粉玫瑰搭配尤加利红豆花束情人节送女友鲜花店	,50
207,（自取款）随机惊喜单枝鲜花不配送哦，到店自取	,50
165,『爱你每一天』粉色满天星花束520情人节礼物送女友推荐鲜花	,50
162,『一面之荣』19枝粉玫瑰配满天星银叶菊花束520情人节鲜花	,50
164,『齿颊生香』11枝香槟玫瑰配尤加利花束520情人节礼物鲜花	,49
227,『日常家居鲜花』小束粉色满天星（一公里内配送，不带瓶装。）	,48
168,『妖娆迷人』33枝红玫瑰搭配相思梅花束520送女友情人节鲜花	,48
166,『冰雪聪明』19枝香槟玫瑰搭配尤加利花束520情人节礼物鲜花	,48
205,『日常家居鲜花』3枝白百合（一公里内配送，不带瓶装。）	,47
167,向日葵（单枝）仅限自取	,47
176,『至死不渝』满天星鲜花花束 送女友送闺蜜送情人推荐	,47
173,（自取款）单枝红玫瑰不配送哦亲	,47
170,『一生唯爱』33枝红玫瑰礼盒520送女友情人节礼物鲜花	,47
169,『柔情蜜意』19枝粉玫瑰配桔梗满天星抱抱桶520情人节鲜花	,46
175,『纤尘不染』99枝粉玫瑰韩式花束七夕情人节礼物鲜花店	,46
211,单只康乃馨	,46
1458,『天生丽质』向日葵粉康乃馨洋桔梗小花束毕业季生日鲜花礼物	,45
171,『感谢恩师』19枝红康乃馨搭配尤加利花束教师节送老师鲜花	,45
174,『爱就一个字』19枝红玫瑰花束 送亲人送闺蜜送情人推荐鲜花店	,44
172,『白头相守』11枝红玫瑰搭配尤加利花束情人节送女友鲜花店	,44
1499,『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花	,43
182,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店	,43
179,『漫天星辰』白色满天星韩式花束520情人节礼物鲜花	,42
178,『绝代佳人』11枝混搭玫瑰+满天星礼盒 女神节生日礼物	,42
177,香水百合（单支）仅限自取	,42
180,『如诗如画』52枝香槟玫瑰搭配桔梗韩式花束七夕情人节礼物	,41
184,『Goddess D9款』33枝红玫瑰+配草+2只小熊 礼盒	,41
181,『默默无闻』11支红康乃馨混搭礼盒送长辈送老师礼物鲜花	,41
209,『日常家居鲜花』3枝黄百合（一公里内配送）	,40
188,『青梅竹马』33枝粉玫瑰搭配尤加利花束520情人节礼物鲜花	,40
183,『铭记恩师』19枝粉康乃馨搭配相思梅礼盒教师节送老师鲜花	,40
185,女王款-99枝红玫瑰鲜花520送女友情人节鲜花	,40
235,『日常家居鲜花』3枝粉百合（一公里内配送，不带瓶装。）	,39
187,『天使心跳』33枝红玫瑰圣诞节推荐鲜花店	,39
186,『温宛可人』11枝蓝色妖姬搭配尤加利花束520情人节礼物鲜花	,39
192,『GoddessD1款』33枝红玫瑰鲜花儿+相思梅花束送女友	,38
189,『爱的宣言』蓝色满天星+3只粉玫瑰鲜花花束 店家主推款爆款	,38
213,『爱情契约』11枝粉色康乃馨搭配8枝玫瑰混搭花束 38女神节	,38
193,『含情默默』33枝蓝玫瑰搭配满天星花束520情人节礼物鲜花	,37
194,『怡情悦性』11枝香槟玫瑰花搭配尤加利桔梗花束送闺蜜鲜花店	,37
191,『爱情爱情』11枝红玫瑰鲜花礼盒 生日鲜花甜蜜爱人	,37
190,『含辛茹苦』3枝向日葵搭配11枝粉玫瑰花束教师节礼物鲜花	,37
197,『魂牵梦索』19枝香槟粉玫瑰混搭韩式抱抱桶520情人节鲜花	,37
195,『勤劳朴实』11支粉康乃馨搭配尤加利花束送长辈送父亲礼物鲜花	,37
201,『万里挑一』粉玫瑰搭配百合绣球手提鲜花花篮送情人 送闺蜜	,36
196,『情根爱胎』19枝红玫瑰搭配桔梗尤加利礼盒情人节送女友鲜花店	,36
202,『Black yarn C2款』52枝红玫瑰鲜花儿黑纱花束	,36
200,『店家爆款』3枝玫瑰散装 仅售1元自取款 可选颜色	,35
214,『女 神 节』11枝粉色康乃馨礼盒 女神节礼物	,35
199,『永恒的微笑』香槟玫瑰向日葵混搭鲜花花篮 送亲人 送闺蜜	,35
230,『活动特惠』11只红玫瑰花束 花店推荐鲜花 送女友生日礼物	,35
204,『纸短情长』33枝红玫瑰黑纱花束520送女友情人节鲜花	,34
212,『父严子孝』5朵向日葵搭配桔梗韩式花束送长辈送父亲鲜花	,34
206,『花容月貌』11枝红玫瑰搭配相思梅礼盒520送女友情人节鲜花	,34
218,『至善至美』11枝香槟玫瑰搭配2枝多头百合花束女神节生日礼物	,34
216,『繁花似锦』99枝红玫瑰花鲜花束送女友生日礼物圣诞节鲜花店	,33
241,3朵向日葵加6朵香槟尤加利桔梗红豆 父亲节花束 送爸爸	,33
323,『日常家居鲜花』小束白色满天星（一公里内配送，不带瓶装。）	,33
210,『Blue A3款』19枝蓝色玫瑰鲜花+配草+2只小熊 礼盒	,32
379,『日常家居鲜花』小束蓝色满天星（一公里内配送，不带瓶装。）	,32
208,『一吻便颠倒众生』11枝红玫瑰尤加利礼盒520情人节礼物鲜花	,32
233,『日常家居鲜花』小束白色雏菊（一公里内配送）	,32
219,『铭记于心』33枝粉玫瑰花搭配皇冠花束 送爱人送情人推荐鲜花	,31
217,『花色艳丽』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店	,31
215,『魂牵梦萦』33枝红玫瑰搭配尤加利抱抱通七夕情人节礼物鲜花店	,31
220,『天作之合』33枝粉玫瑰搭配满天星花束520送女友情人节鲜花	,30
229,『蓬勃发展』3朵向日葵+6支香槟玫瑰花束送父亲鲜花	,30
226,『魂牵梦索』满天星鲜花花束520情人节礼物送女友推荐鲜花	,30
1488,『爱如潮水』11枝红玫瑰花束礼物生日鲜花礼物店	,29
1526,（自取款）红玫瑰不配送	,29
1473,（自取款）粉玫瑰不配送	,29
222,『店铺推荐』单枝满天星韩式小花束自取款（颜色可选）	,29
221,『一生情缘』11枝粉玫瑰搭配桔梗混搭鲜花束送女友生日礼物鲜花	,29
232,『一生有你』11枝红玫瑰搭配尤加利黑纱礼盒情人节送女友鲜花店	,29
239,『不辞劳苦』19朵粉百合搭配尤加利相思梅花束 教师节礼物	,28
223,『喜庆满堂红玫瑰+红色扶郎+尤加利+配花开业花篮一对	,28
224,『色彩耀目』99枝香槟玫瑰搭配相思梅韩式花束七夕情人节礼物	,28
225,『倾城倾国』6枝红玫瑰配尤加利韩式花束520情人节礼物鲜花	,28
228,『硕果累累』19枝粉康乃馨混搭手提花篮教师节送老师鲜花	,28
231,『千娇百媚』33枝红玫瑰搭配尤加利韩式花束情人节送女友鲜花店	,28
234,『咫尺天涯』粉玫瑰搭配乒乓菊韩式手提花篮520情人节鲜花	,28
244,『出水芙蓉』11枝粉玫瑰搭配尤加利礼盒520送女友情人节鲜花	,28
243,『身体健康』11支香槟玫瑰尤加利花束送长辈送父亲礼物鲜花	,28
1481,『花好月圆』9枝粉玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,27
255,『美若天仙』11枝粉色康乃馨搭配多头百合花束 女神节礼物	,27
236,遇见主推款【11枝红玫瑰搭配满天星彩灯礼盒送女友送朋友鲜花】	,27
248,『犹报春归』7朵向日葵搭配2朵百合	,26
237,『嫁给我把』11枝红玫瑰花束七夕礼物送女友送闺蜜鲜花店	,26
238,『一世不移』9枝红玫瑰花搭配尤加利花束送女友送闺蜜鲜花店	,26
307,『店长力荐』11枝粉玫瑰鲜花花束送女友送爱人生日礼物	,26
240,『日常家居鲜花』3枝粉玫瑰（一公里内配送）	,26
242,『日常家居鲜花』小束粉色桔梗（一公里内配送）	,26
245,『樱花落』52枝混搭玫瑰圣诞节花束 鲜花店	,26
246,『一心一意』单只粉玫瑰波波球花束  送爱人 送情人 店长推荐	,26
299,『日常家居鲜花』小束洋甘菊（一公里内配送）	,25
267,『如隔三秋』33枝红玫瑰搭配满天星礼盒鲜花店 送女友生日礼物	,25
254,『心心念念』9枝白粉瑰混搭花束 520情人节 鲜花店爆款	,25
253,『青春永驻』11枝粉色康乃馨花束 女神节送父母礼物花束	,25
318,『日常家居鲜花』3枝白玫瑰（一公里内配送，不带瓶装。）	,25
251,『似水流年』11枝粉玫瑰搭配尤加利韩式花束情人节送女友鲜花店	,25
250,『用心爱你』19枝红玫瑰礼盒情人节送女友送闺蜜鲜花	,25
249,『美丽的你』9枝混搭玫瑰花搭配尤加利韩式花束送女友送闺蜜鲜花	,25
247,『店铺推荐』自取小花束送朋友鲜花（只支持自取，单拍不送）	,25
891,『左家娇女』草莓味棒棒糖搭配旺仔包秋天的第一个包包	,24
641,定制专用，单拍无效	,24
409,『纤尘不染』52枝粉玫瑰搭配满天星韩式花束情人节礼物鲜花店	,24
353,『福开新运』开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,24
256,『Black yarn B1款』33枝红玫瑰鲜花儿黑纱花束	,24
257,『含情脉脉』19枝红玫瑰抱抱桶520送女友情人节礼物鲜花	,24
258,『窈窕淑女』33枝红玫瑰搭配尤加利花束520送女友情人节鲜花	,24
261,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人	,24
263,『爱的就是你』52枝红玫瑰高端心形礼盒 送女友生日礼物	,24
265,『诗情花艺』9枝粉玫瑰搭配粉色满天星精致花束	,23
269,『永恒的感激』11枝粉玫瑰搭配尤加利礼盒教师节送老师礼物鲜花	,23
259,『金玉良缘』33枝粉玫瑰搭配满天星韩式花束情人节送女友鲜花店	,23
260,『蝶恋花』香槟玫瑰搭配向日葵手提鲜花篮 送情人 送闺蜜	,23
262,『衣袂飘摇』33枝香槟玫瑰搭配银叶菊韩式花束	,23
271,『蓬勃发张』单层开业花篮婚礼布置开业礼仪送客户庆典（一对）	,23
264,『执子之手』33枝粉玫瑰搭配桔梗韩式花束情人节送女友鲜花店	,23
266,『繁花似锦』99枝粉玫瑰精致韩式花束七夕情人节礼物鲜花店	,23
274,『秋风送喜网红大麦开业花篮一对	,22
272,『柔情蜜意』19枝红色康乃馨搭配满天星尤加利花束38女神节	,22
270,『如星璀璨』满天星花束 糖果球抖音网红灯送女友送老婆生日礼物	,22
273,『鲜眉亮眼』33枝粉玫瑰搭配满天星花束 女神节生日礼物	,22
268,单枝红玫瑰（满60配送）	,22
321,『朝朝暮暮』99枝红玫瑰七夕送女友生日礼物情人节鲜花	,21
278,『旷世容颜』11枝香槟玫瑰搭配桔梗尤加利花束	,21
276,『可爱小熊』单买不送请与鲜花一同下单 颜色随机	,21
329,『日常家居鲜花』3枝向日葵（一公里内配送，不带瓶装。）	,21
304,『长命百岁』19枝红色康乃馨礼盒A款-生日鲜花长辈甄选	,21
282,『万事吉祥单层开业花篮一对	,21
275,『白头偕老』33枝香槟玫瑰花束520送女友情人节鲜花	,21
277,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜	,21
1513,（自取款）单枝白百合不配送自取地址昭阳路	,20
1480,『花容月貌』6枝红玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,20
280,『万事如意』三脚架开业花篮婚礼布置庆典礼仪鲜花演唱会（一对）	,20
279,一世爱人（11枝红玫瑰搭配尤加利七夕情人节鲜花花束）	,20
537,『日常家居鲜花』3枝粉色康乃馨（一公里内配送，不带瓶装。）	,20
297,『特价促销』向日葵混搭小花束	,20
281,『Lovely D2』33枝戴安娜鲜花+配草 花束送闺蜜鲜花	,20
303,『爱的宣言』蓝色满天星+3只粉玫瑰鲜花花束 主推款爆款159	,20
283,『傲雪凌霜』33枝粉玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店	,20
284,『铭记于心』33枝粉玫瑰花皇冠花束七夕送爱人情人节礼物鲜花	,20
302,『万事如意单层开业花篮一对	,20
290,『财源广进』50朵扶郎花+2朵百合特价双层开业花篮 （一对）	,20
291,到店自取限量款红玫瑰（单枝）	,19
289,『超值限购自取款』单支玫瑰	,19
386,『日常家居鲜花』小束紫色雏菊（一公里内配送）	,19
286,（满满的爱），到店自取款	,19
288,『吉祥开业』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,19
287,『莺莺燕燕』11枝粉玫瑰两个白色绣球搭配尤加利韩式花束	,19
294,满天星『为你心动』LOVE字样 送亲人 送闺蜜 送情人推荐	,19
285,【指路明灯 】单支向日葵不配送	,19
292,『含露低垂』7枝香水百合6月花礼送女友鲜花花束	,19
293,『夜色阑珊』33枝红玫瑰搭配黄英礼盒情人节送女友鲜花店	,19
348,『日常家居鲜花』小束绿色雏菊（一公里内配送）	,19
296,『共度一生』33枝粉玫瑰搭配银叶菊韩式花束情人节送女友鲜花店	,19
310,『巧夺天工』33枝红玫瑰花搭配桂冠韩式花束送女友鼠年生日礼物	,18
325,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店	,18
364,开业花篮B款	,18
305,『玫瑰花开』99枝红玫瑰搭配尤加利韩式花束 七夕情人节礼物	,18
