,日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）,接单时间
141,	20200824-20200826,15231420408368023,2020-08-25 00:35:19	,40秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,299.0,139.0,0.0,199.0,约惠七夕19枝	,『情比金坚』19枝红玫瑰精致韩式花束七夕情人节礼物鲜花店,,cldwdzk003	,1,299.0,139.0,160.0,160.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情比金坚』19枝红玫瑰精致韩式花束七夕情人节礼物鲜花店原价299.0元现价139.0元	,否,未回复,,0.00分,0.0,2020-08-25 04:37:20	,其他	,40
150,	20200824-20200826,15231420075108782,2020-08-25 09:46:29	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,308.0,206.0,0.0,141.0,送长辈们づ———	,『犹报春归』7朵向日葵搭配2朵百合,,SADF231F	,1,298.0,198.0,100.0,100.0,0.0,否,0,0.0,0.0,10.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
151,	20200824-20200826,15231421294596594,2020-08-25 10:22:46	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,164.0,112.0,0.0,91.0,生日快乐づ———	,『爱如潮水』11枝红玫瑰花束情人节爆款送女友鲜花店,,MFKSM2	,1,158.0,108.0,50.0,50.0,0.0,否,0,0.0,0.0,6.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
152,	20200824-20200826,15231423982058332,2020-08-25 11:14:55	,23秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,408.0,256.0,0.0,191.0,店长推荐づ——	,『伉俪情深』19枝蓝色妖姬搭配尤加利礼盒520情人节礼物鲜花,,ZMM031	,1,378.0,228.0,150.0,150.0,0.0,否,0,0.0,0.0,30.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『伉俪情深』19枝蓝色妖姬搭配尤加利礼盒七夕礼物情人节鲜花原价378.0元现价228.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,23
153,	20200824-20200826,15231422718691708,2020-08-25 11:15:58	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,183.0,131.0,0.0,91.0,活动专区づ———	,『一吻便救一个人』11枝红玫瑰尤加利花束520情人节礼物鲜花,,QRJYR02	,1,168.0,118.0,50.0,50.0,0.0,否,0,0.0,0.0,15.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
154,	20200824-20200826,15231423123430734,2020-08-25 11:46:27	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,306.0,195.0,0.0,150.0,折扣专区づ———	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,,CHZL	,1,298.0,189.0,109.0,109.0,0.0,否,0,0.0,0.0,8.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『彩虹之恋』满天星鲜花花束 七夕礼物送女友送闺蜜推荐鲜花原价298.0元现价189.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
157,	20200824-20200826,15231423774986605,2020-08-25 12:37:25	,92秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,265.0,207.0,0.0,97.0,店长推荐づ——	,『倾城倾国』11枝红玫瑰配尤加利韩式花束七夕情人节礼物鲜花,,,1,245.0,189.0,56.0,56.0,0.0,否,0,0.0,0.0,20.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『倾城倾国』11枝红玫瑰配尤加利韩式花束七夕情人节礼物鲜花原价245.0元现价189.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,92
170,	20200824-20200826,15231420472979596,2020-08-25 14:10:11	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,295.0,216.0,0.0,118.0,折扣专区づ———	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,,ZALH09	,1,245.0,168.0,77.0,77.0,0.0,否,0,0.0,0.0,50.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜七夕礼物原价245.0元现价168.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
173,	20200824-20200826,15231422868991306,2020-08-25 15:42:58	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,338.0,238.0,0.0,139.0,折扣专区づ———	,『巧夺天工』33枝红玫瑰花搭配桂冠韩式花束送女友鼠年生日礼物,,,1,338.0,238.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,0
174,	20200824-20200826,15231423403255763,2020-08-25 15:46:23	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,188.0,131.0,0.0,96.0,活动专区づ———	,『一吻便颠倒众生』11枝红玫瑰尤加利礼盒520情人节礼物鲜花,,SADQWE4	,1,168.0,113.0,55.0,55.0,0.0,否,0,0.0,0.0,20.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/减配送费2.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
177,	20200824-20200826,15231423447845115,2020-08-25 16:19:38	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,158.0,103.0,0.0,94.0,活动专区づ———	,『粉色初恋』9枝粉玫瑰搭配满天星花束情人节爆款送女友鲜花店,,QRJYR01	,1,158.0,103.0,55.0,55.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
184,	20200824-20200826,15231420822258076,2020-08-25 22:23:51	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,245.0,159.0,0.0,125.0,店长推荐づ——	,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花,,TH001	,1,245.0,159.0,86.0,86.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花原价245.0元现价159.0元	,否,未回复,,0.00分,0.0,,其他	,0
186,	20200824-20200826,15231422274562704,2020-08-25 15:38:10	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,369.0,179.0,0.0,229.0,约惠七夕11枝	,『所谓伊人』11枝蓝色妖姬搭配满天星礼盒七夕情人节礼物鲜花,,XH006	,1,369.0,179.0,190.0,190.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『所谓伊人』11枝蓝色妖姬搭配满天星礼盒七夕情人节礼物鲜花原价369.0元现价179.0元	,否,未回复,,0.00分,0.0,,其他	,0
187,	20200824-20200826,15231420940046133,2020-08-25 22:20:41	,0秒,花生活鲜花（明珠鲜花坊）	,1523142,西宁	,在线支付,订单取消,用户提交订单,否,253.0,165.0,0.0,127.0,店长推荐づ——	,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花,,TH001	,1,245.0,159.0,86.0,86.0,0.0,否,0,0.0,0.0,8.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花原价245.0元现价159.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
190,	20200824-20200826,16961751601381307,2020-08-24 13:30:19	,16秒,花生活鲜花（520鲜花园艺）	,1696175,上海	,在线支付,订单取消,用户提交订单,否,49.9,46.9,0.0,42.0,向日葵花づ———	,『特价优惠』一枝向日葵搭配雏菊韩式花束特价款,,,1,49.9,46.9,3.0,3.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,16
221,	20200824-20200826,19718691269807160,2020-08-24 10:40:58	,0秒,花生活鲜花（嘿花哨花艺）	,1971869,遵义	,在线支付,订单取消,用户提交订单,是,399.0,146.0,0.0,292.0,约惠七夕19枝	,『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,31401	,1,399.0,146.0,253.0,253.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价399.0元现价149.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
223,	20200824-20200826,19718693966510833,2020-08-24 20:51:37	,0秒,花生活鲜花（嘿花哨花艺）	,1971869,遵义	,在线支付,订单取消,用户提交订单,否,269.0,156.0,0.0,152.0,约惠七夕11枝	,『心心相印』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,156.0,113.0,113.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价159.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
231,	20200824-20200826,19718693382704585,2020-08-25 09:38:13	,13秒,花生活鲜花（嘿花哨花艺）	,1971869,遵义	,在线支付,订单取消,用户提交订单,否,245.0,186.0,0.0,98.0,店长推荐づ——	,『倾城倾国』11枝红玫瑰配尤加利韩式花束七夕情人节礼物鲜花,,,1,245.0,186.0,59.0,59.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『倾城倾国』11枝红玫瑰配尤加利韩式花束七夕情人节礼物鲜花原价245.0元现价189.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,13
242,	20200824-20200826,19718693968253920,2020-08-25 12:17:23	,180秒,花生活鲜花（嘿花哨花艺）	,1971869,遵义	,在线支付,订单取消,用户提交订单,否,268.0,151.0,0.0,156.0,约惠七夕11枝	,『两厢情愿』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花,,XH003	,1,268.0,151.0,117.0,117.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『两厢情愿』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花原价268.0元现价159.0元/门店新客立减3.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,180
247,	20200824-20200826,19718693605089781,2020-08-25 14:28:10	,605秒,花生活鲜花（嘿花哨花艺）	,1971869,遵义	,在线支付,订单取消,用户提交订单,否,188.0,135.0,0.0,92.0,活动专区づ———	,『柔情蜜意』19枝红色康乃馨搭配满天星尤加利花束38女神节,,HD003	,1,188.0,135.0,53.0,53.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,605
254,	20200824-20200826,20060703966510833,2020-08-24 22:59:15	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,是,298.0,126.0,0.0,211.0,约惠七夕11枝	,『白头相守』11枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花,,38021	,1,298.0,126.0,172.0,172.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『白头相守』11枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花原价298.0元现价129.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
256,	20200824-20200826,20060702718691708,2020-08-25 13:06:39	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,269.0,147.9,0.1,160.0,约惠七夕11枝	,『心心相印』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,147.9,121.1,121.0,0.1,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减8.1元/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价159.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
258,	20200824-20200826,20060702028886957,2020-08-25 23:40:47	,51秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,318.0,205.0,0.0,152.0,店长推荐づ——	,『男欢女爱』19枝粉玫瑰配黄英相思梅礼盒520情人节礼物鲜花,,ZMM024	,1,318.0,205.0,113.0,113.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『男欢女爱』19枝粉玫瑰配黄英相思梅礼盒七夕礼物情人节鲜花原价318.0元现价208.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,51
261,	20200824-20200826,20060703470084206,2020-08-25 09:08:38	,19秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,369.0,141.0,0.0,267.0,约惠七夕11枝	,『福禄鸳鸯』11枝蓝色妖姬搭配满天星花束七夕情人节礼物鲜花,,XH007	,1,369.0,141.0,228.0,228.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『福禄鸳鸯』11枝蓝色妖姬搭配满天星花束七夕情人节礼物鲜花原价369.0元现价149.0元/门店新客立减3.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,19
262,	20200824-20200826,20060702386186755,2020-08-25 09:14:03	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,369.0,146.0,0.0,262.0,约惠七夕19枝	,『伯劳飞燕』19枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花,,TH005	,1,369.0,146.0,223.0,223.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『伯劳飞燕』19枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花原价369.0元现价149.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
263,	20200824-20200826,20060701795091754,2020-08-25 09:14:15	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,338.0,260.0,0.0,117.0,折扣专区づ———	,『如隔三秋』33枝红玫瑰搭配满天星礼盒鲜花店 送女友生日礼物,,RGSQ01	,1,338.0,260.0,78.0,78.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『如隔三秋』33枝红玫瑰搭配满天星礼盒鲜花店 送女友七夕礼物原价338.0元现价268.0元/门店新客立减3.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
264,	20200824-20200826,20060701677285159,2020-08-25 10:29:20	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,269.0,142.9,0.1,165.0,约惠七夕11枝	,『心心相印』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,142.9,126.1,126.0,0.1,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减8.1元/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价159.0元/门店新客立减3.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
265,	20200824-20200826,20060703382704585,2020-08-25 10:34:58	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,149.0,96.0,0.0,92.0,生日快乐づ———	,『温香艳玉』11枝红玫瑰花搭配尤加利圣诞礼盒生日礼物鲜花店,,CCASD1	,1,149.0,96.0,53.0,53.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
267,	20200824-20200826,20060700358768070,2020-08-25 11:22:37	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,207.9,91.8,0.1,155.0,生日快乐づ———	,『爱如潮水』11枝红玫瑰花束情人节爆款送女友鲜花店,,MFKSM2	,1,158.0,69.76,88.24,88.17,0.07,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减8.1元/门店新客立减3.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
268,	20200824-20200826,20060700358768070,2020-08-25 11:22:37	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,207.9,91.8,0.1,155.0,向日葵花づ———	,『特价优惠』一枝向日葵搭配雏菊韩式花束特价款,,,1,49.9,22.04,27.86,27.83,0.03,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减8.1元/门店新客立减3.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
270,	20200824-20200826,20060704016847411,2020-08-25 11:42:57	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,369.0,167.9,0.1,240.0,约惠七夕19枝	,『鸾凤和鸣』19枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店,,38017	,1,369.0,167.9,201.1,201.0,0.1,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减8.1元/购买『鸾凤和鸣』19枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店原价369.0元现价179.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
276,	20200824-20200826,20060702342655417,2020-08-25 13:24:34	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,298.0,156.0,0.0,181.0,约惠七夕11枝	,『白头相守』11枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花,,38021	,1,298.0,156.0,142.0,142.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『白头相守』11枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花原价298.0元现价159.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
278,	20200824-20200826,20060703605089781,2020-08-25 13:38:22	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,245.0,162.0,3.0,119.0,折扣专区づ———	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,,ZALH09	,1,245.0,162.0,83.0,80.0,3.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了支付红包减3元/购买『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜七夕礼物原价245.0元现价168.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
279,	20200824-20200826,20060703774986605,2020-08-25 13:38:25	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,258.0,166.0,0.0,131.0,店长推荐づ——	,『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒520送女友情人节鲜花,,ZMM012	,1,258.0,166.0,92.0,92.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒七夕礼物情人节鲜花原价258.0元现价169.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
283,	20200824-20200826,20060703152492135,2020-08-25 15:22:10	,0秒,花生活鲜花（伊馨花坊）	,2006070,上海	,在线支付,订单取消,用户提交订单,否,245.0,165.0,0.0,119.0,折扣专区づ———	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,,ZALH09	,1,245.0,165.0,80.0,80.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜七夕礼物原价245.0元现价168.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,0
